refdes	footprint	value	manuf	manuf-pn	mouser-pn	farnell-pn	
C41	C_0805.fp	100n	unknown	unknown	unknown	unknown	
C40	C_0805.fp	100n	unknown	unknown	unknown	unknown	
C46	C_0805.fp	100n	unknown	unknown	unknown	unknown	
C45	C_0805.fp	100n	unknown	unknown	unknown	unknown	
C43	C_0805.fp	100n	unknown	unknown	unknown	unknown	
C42	C_0805.fp	100n	unknown	unknown	unknown	unknown	
J4	TE_MINI_UNIVERSAL_MATE_N_LOCK_3.fp	+OUTPUT	TE Connectivity	1-770170-1	571-1-770170-1	unknown	
J2	TE_MINI_UNIVERSAL_MATE_N_LOCK_3.fp	+INPUT	TE Connectivity	1-770170-1	571-1-770170-1	unknown	
J3	TE_AMPMODU_MTE_8.fp	CC INDICATOR	TE Connectivity	5-104450-7	571-5-104450-7	unknown	
J1	TE_AMPMODU_MTE_4.fp	+V_BIAS	TE Connectivity	5-104450-3	571-5-104450-3	unknown	
S2	TE_AMPMODU_MTE_3.fp	unknown	TE Connectivity	5-104450-2	571-5-104450-2	unknown	
R18	R_1206.fp	100k	unknown	unknown	unknown	unknown	
JP2	R_1206.fp	0	unknown	unknown	unknown	unknown	
JP1	R_1206.fp	DNP	unknown	unknown	unknown	unknown	
TP7	TEST_PIN_2.fp	unknown	unknown	unknown	unknown	unknown	
TP6	TEST_PIN_2.fp	unknown	unknown	unknown	unknown	unknown	
TP5	TEST_PIN_2.fp	unknown	unknown	unknown	unknown	unknown	
TP4	TEST_PIN_2.fp	unknown	unknown	unknown	unknown	unknown	
TP3	TEST_PIN_2.fp	unknown	unknown	unknown	unknown	unknown	
TP2	TEST_PIN_2.fp	unknown	unknown	unknown	unknown	unknown	
CR11	SOT23_3.fp	*	Fairchild	MMBD1501A	512-MMBD1501A	unknown	
CR10	SOT23_3.fp	*	Fairchild	MMBD1501A	512-MMBD1501A	unknown	
CR8	SOT23_3.fp	*	unknown	unknown	unknown	unknown	
CR7	D_SMA.fp	*	unknown	unknown	unknown	unknown	
CR6	D_SMA.fp	*	unknown	unknown	unknown	unknown	
CR5	SOT23_3.fp	*	Diodes Inc	BAV99-13-F	621-BAV99-13-F	unknown	
CR4	SOT23_3.fp	*	Diodes Inc	BAV99-13-F	621-BAV99-13-F	unknown	
CR3	D_SMC.fp	MR854	Diodes Inc	S5BC-13-F	621-S5BC-F	unknown	
CR2	D_GBU.fp	KBPC606	Fairchild	GBU8J	512-GBU8J	unknown	
Q5	SOT23_3.fp	2N2222	unknown	unknown	unknown	unknown	
Q4	SOT23_3.fp	2N2222	unknown	unknown	unknown	unknown	
Q3	TO247.fp	2N6056	ST	TIP35C	511-TIP35C	unknown	
Q2	SOT23_3.fp	2N4036	Diodes Inc	ZXTP25140BFHTA	621-ZXTP25140BFHTA	unknown	
Q1	TO247.fp	2N6056	ST	TIP35C	511-TIP35C	unknown	
U5	SOIC_8.fp	LM393CN	Texas Instruments	LM393AD	595-LM393AD	unknown	
U4	SOIC_14.fp	LF442CN	Texas Instruments	LF444CM/NOPB	926-LF444CM/NOPB	unknown	
U3	SOIC_8.fp	LM336BZ-5.0	Texas Instruments	LM336BMX-5.0/NOPB	926-LM336BMX50/NOPB	unknown	
U1	SOIC_8.fp	LF411CN	Texas Instruments	LF411CD	595-LF411CD	unknown	
R46	TE_SM_3.fp	390	TE Connectivity	SMF3390RJT	279-SMF3390RJT	1086403	
R45	R_0805.fp	0	unknown	unknown	unknown	unknown	
R44	R_0805.fp	0	unknown	unknown	unknown	unknown	
R43	R_0805.fp	DNP	unknown	unknown	unknown	unknown	
R41	R_0805.fp	4.64k	unknown	unknown	unknown	unknown	
