RefDes,Qty.,Mfg,Mouser P/N
C1,5,Vishay BC,594-2222-339-20104
C2,1,United Chemi-Con,661-ESMH500VNN103MA3
C2,1,United Chemi-Con,661-ESMH101VNN472MR5
C2,1,United Chemi-Con,661-ESMH251VNN102MA
C3,1,Nichicon,647-UVK1H471MPD
C3,1,Nichicon,647-UVK2A221MHD
C3,1,Nichicon,647-UPT2E101MHD
"C4,5",2,Vishay Vitramon,77-VJ1812Y104KXEAT4X
C6,5,Vishay Vitramon,77-VJ0805A222JXAAT
C6,5,Vishay Vitramon,77-VJ08A100V220J
C10,3,TDK,810-C4532X7R1H685K
C10,2,TDK,810-C4532X7T2E105KKA
C12,5,Vishay Vitramon,77-VJ0805A181JXACBC
C12,5,Vishay Vitramon,77-VJ0805A221JXACBC
C12,5,Vishay Vitramon,77-VJ0805A121JXACBC
C20,5,AVX,581-08051A180J
"C22,23,40,41,42,43,45,46",100,Vishay Vitramon,77-VJ0805Y104KXAAT
R1,1,TE Connectivity,279-SMF32K2JT
"R1,13",2,TE Connectivity,279-SMF34K7JT
R1,1,TE Connectivity,279-SMF347KJT
R2,1,Ohmite,588-WNER10FET
R2,1,Ohmite,588-15FR200E 
R2,1,Vishay Dale,71-RW74U1R80F
R3,5,Panasonic,667-ERJ-P06F1201V
"R4,8,14,25",100,Vishay Dale,71-CRCW0805-1.0K-E3
"R5,R8",15,Vishay Dale,71-CRCW0805-5K
R6,5,Vishay Dale,71-CRCW08051M50FKEA
"R6,12,38,39,44,45",100,Vishay Dale,71-CRCW0805-0-E3
R10,5,Vishay Dale,71-CRCW1206-21.5-E3
R10,5,Vishay Dale,71-CRCW1206-75-E3
"R11,12,16,26",20,Vishay Dale,71-CRCW080510K0FKEB
"R13,46",3,TE Connectivity,279-SMF31K0JT
R15,1,TE Connectivity,279-SMF315KJT
R15,1,TE Connectivity,279-SMF36K8JT
R15,1,TE Connectivity,279-SMF33K3JT
R17,5,Vishay Dale,71-CRCW12061M80FKEA
R18,5,Vishay Dale,71-CRCW1206-200K-E3
R18,5,Vishay Dale,71-CRCW1206-1.82M-E3
R20,3,Bourns,652-3296Y-1-503LF
"R22,23",5,Vishay Dale,71-CRCW0805-2.49K-E3
"R22,23",5,Vishay Dale,71-CRCW0805-7.5K-E3
R24,5,Vishay Dale,71-CRCW0805-49.9K-E3
R27,5,Vishay Dale,71-CRCW1206-1-E3
R27,5,Vishay Dale,71-CRCW1206-6.81K-E3
"R27,JP1,2",20,Vishay Dale,71-CRCW1206-0-E3
R28,5,Vishay Dale,71-CRCW0805-6.81K-E3
R28,5,Vishay Dale,71-CRCW0805-6.19K-E3
"R29,30",10,Panasonic,667-ERJ-P08J102V
"R31,32",6,Bourns,652-3296Y-1-103LF
R33,5,Vishay Dale,71-CRCW0805-3.4K-E3
R33,5,Vishay Dale,71-CRCW0805-5.23K-E3
R33,5,Vishay Dale,71-CRCW0805-7.15K-E3
R34,5,Vishay Dale,71-CRCW1206-7.15K-E3
R34,5,Vishay Dale,71-CRCW1206-499K-E3
"R35,36",2,Vishay Dale,71-RW74UR604F
"R35,36",2,Vishay Dale,71-CW0051R200JE73
"R35,36",2,Ohmite,588-WND10RFET
"R38,39",5,Vishay Dale,71-CRCW0805-75-E3
R40,5,Vishay Dale,71-CRCW0805267KFKEA
R41,5,Vishay Dale,71-CRCW0805-4.64K-E3
R43,5,Vishay Dale,71-CRCW0805-100K-E3
"R44,45",5,Vishay Dale,71-CRCW0805-31.6K-E3
R46,1,TE Connectivity,279-SMF3390RJT
U1,5,TI,595-LF411CD
U3,5,TI,926-LM336BMX50NOPB
U4,5,TI,926-LF444CM/NOPB
U5,5,TI,595-LM393AD
"Q1,3",6,ON Semi,863-TIP35CG
"Q1,3",4,Vishay Siliconix,844-IRFP440PBF
Q2,5,Diodes Inc.,621-ZXTP25140BFHTA 
"Q4,5",10,Diodes Inc.,621-MMBT2222A-F
CR2,5,Fairchild,512-GBU8J
CR3,5,Diodes Inc,621-S5BC-F
"CR4,5",10,Diodes Inc.,621-BAV99-13-F
"CR6,7",10,Vishay Semi,625-BYG20J-E3
"CR10,11",10,Fairchild,512-MMBD1501A
CR8,5,Vishay Semi,78-BAS21-E3-18
"J2,J4",5,TE Connectivity,571-1-770170-1
"J2,J4",5,TE Connectivity,571-172337-1
"J2,J4",100,TE Connectivity,571-794407-1
"J1,J3,R19,R37,S2",5,Molex,538-22-28-4215
R37,1,Bourns,652-3590S-1-503L
R37,1,Bourns,652-3590S-1-104L
,,,
"BR1,BR2",10,Taiwan Semiconductor,821-DBLS203G
"C1,C2,C3",5,Nichicon,647-UPW1H471MHD
"C10,C11,C12,C4,C5,C6",30,Taiyo Yuden,963-UMK325BJ106MM-T
"C7,C8,C9",15,Vishay,77-VJ0805Y103KXBMC
"D1,D2,D3",15,Diodes Inc,621-S1A-F
F1,5,TE Connectivity,650-MINISMDC050F-2
"F2,F3",10,Cooper Bussmann,504-PTS181260V014
"J1,J2",0,TE Connectivity,571-5-104362-5
"R1,R2,R3",15,Vishay,71-CRCW0805-0-E3
"R4,R6,R9",15,Vishay,71-CRCW0805-196-E3
R5,5,Vishay,71-CRCW0805-590-E3
"R7,R8",10,Vishay,71-CRCW0805-1.69K-E3
"R7,R8",10,Vishay,71-CRCW0805-2.15K-E3
"U1,U2",10,ON Semiconductor,863-LM317TG
U3,5,ON Semiconductor,863-LM337TG
